TN;Quốc gia khởi đầu trong cuộc cách mạng công nghiệp lần thứ nhất diễn ra vào giữa thế kỉ XVIII là;Anh|Mĩ|Đức|Pháp;1;;
DS;Đọc đoạn tư liệu sau đây: “Sau cuộc cách mạng tư sản giữa thế kỉ XVII, nước Anh đã có những chuyển biến căn bản về mặt chính trị và kinh tế. Trong suốt thế kỉ XVIII và 30 năm đầu thế kỉ XIX, ở Anh đã diễn ra một quá trình cách mạng, tuy không sôi nổi như những ngày nội chiến, nhưng đánh dấu một bước ngoặt trong sự phát triển sản xuất. Đó là cuộc cách mạng công nghiệp tư bản chủ nghĩa đầu tiên trong lịch sử.”;Cách mạng công nghiệp là cuộc cách mạng trong lĩnh vực kỹ thuật và sản xuất;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Sau cuộc cách mạng tư sản giữa thế kỉ XVII, nước Anh đã có những chuyển biến căn bản về mặt chính trị và kinh tế. Trong suốt thế kỉ XVIII và 30 năm đầu thế kỉ XIX, ở Anh đã diễn ra một quá trình cách mạng, tuy không sôi nổi như những ngày nội chiến, nhưng đánh dấu một bước ngoặt trong sự phát triển sản xuất. Đó là cuộc cách mạng công nghiệp tư bản chủ nghĩa đầu tiên trong lịch sử.”;Mở đầu từ nước Anh, cách mạng công nghiệp nhanh chóng lan ra toàn thế giới;Sai;;
DS;Đọc đoạn tư liệu sau đây: “Sau cuộc cách mạng tư sản giữa thế kỉ XVII, nước Anh đã có những chuyển biến căn bản về mặt chính trị và kinh tế. Trong suốt thế kỉ XVIII và 30 năm đầu thế kỉ XIX, ở Anh đã diễn ra một quá trình cách mạng, tuy không sôi nổi như những ngày nội chiến, nhưng đánh dấu một bước ngoặt trong sự phát triển sản xuất. Đó là cuộc cách mạng công nghiệp tư bản chủ nghĩa đầu tiên trong lịch sử.”;Trong thời kỳ cận đại, loài người đã trải qua bốn cuộc cách mạng công nghiệp;Sai;;

DS;Đọc đoạn tư liệu sau đây: “Thành tựu của cách mạng công nghiệp thời cận đại đã thúc đẩy quan hệ quốc tế, giao lưu và kết nối văn hóa toàn cầu. Đời sống vật chất và tinh thần của người dân ở các nước tư bản cũng được nâng cao thể hiện qua đời sống văn hóa phong phú, đa dạng, hiện đại với sự xuất hiện của điện ảnh, điện thoại,... Đặc biệt, cách mạng công nghiệp thời cận đại cũng đưa đến hình thành một lối sống, tác phong công nghiệp gắn với quá trình công nghiệp hóa.”;Với cách mạng công nghiệp, lần đầu tiên, nền văn hóa nhân loại được kết nối với nhau;Sai;;
DS;Đọc đoạn tư liệu sau đây: “Thành tựu của cách mạng công nghiệp thời cận đại đã thúc đẩy quan hệ quốc tế, giao lưu và kết nối văn hóa toàn cầu. Đời sống vật chất và tinh thần của người dân ở các nước tư bản cũng được nâng cao thể hiện qua đời sống văn hóa phong phú, đa dạng, hiện đại với sự xuất hiện của điện ảnh, điện thoại,... Đặc biệt, cách mạng công nghiệp thời cận đại cũng đưa đến hình thành một lối sống, tác phong công nghiệp gắn với quá trình công nghiệp hóa.”;Cách mạng công nghiệp thời cận đại đã làm xuất hiện lối sống, tác phong công nghiệp;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Thành tựu của cách mạng công nghiệp thời cận đại đã thúc đẩy quan hệ quốc tế, giao lưu và kết nối văn hóa toàn cầu. Đời sống vật chất và tinh thần của người dân ở các nước tư bản cũng được nâng cao thể hiện qua đời sống văn hóa phong phú, đa dạng, hiện đại với sự xuất hiện của điện ảnh, điện thoại,... Đặc biệt, cách mạng công nghiệp thời cận đại cũng đưa đến hình thành một lối sống, tác phong công nghiệp gắn với quá trình công nghiệp hóa.”;Trong quá trình công nghiệp hóa, đời sống văn hóa của nhân loại trở nên phong phú;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Thành tựu của cách mạng công nghiệp thời cận đại đã thúc đẩy quan hệ quốc tế, giao lưu và kết nối văn hóa toàn cầu. Đời sống vật chất và tinh thần của người dân ở các nước tư bản cũng được nâng cao thể hiện qua đời sống văn hóa phong phú, đa dạng, hiện đại với sự xuất hiện của điện ảnh, điện thoại,... Đặc biệt, cách mạng công nghiệp thời cận đại cũng đưa đến hình thành một lối sống, tác phong công nghiệp gắn với quá trình công nghiệp hóa.”;Cách mạng công nghiệp thời cận đại luôn mang đến những yếu tố văn hóa tích cực;Sai;;

DS;Đọc đoạn tư liệu sau đây: “Cách mạng công nghiệp thời hiện đại làm cho sự phân công lao động và chuyên môn hóa ngày càng sâu sắc. Các ngành sản xuất phi vật chất (giáo dục, du lịch, giao thông vận tải, tài chính, ngân hàng....) ngày càng phát triển, với nội dung, tính chất và hình thức lao động hoàn toàn khác biệt, góp phần làm thay đổi cách nghĩ, lối sống, phương thức làm việc và quan hệ của con người trong xã hội. Tuy nhiên, sự tự động hóa ngày càng cao làm cho tình trạng thất nghiệp trên toàn cầu gia tăng, từ đó dẫn đến những nguy cơ bất ổn về chính trị và xã hội.”;Với cách mạng công nghiệp hiện đại, lối sống và tác phong công nghiệp đã hình thành;Sai;;
DS;Đọc đoạn tư liệu sau đây: “Cách mạng công nghiệp thời hiện đại làm cho sự phân công lao động và chuyên môn hóa ngày càng sâu sắc. Các ngành sản xuất phi vật chất (giáo dục, du lịch, giao thông vận tải, tài chính, ngân hàng....) ngày càng phát triển, với nội dung, tính chất và hình thức lao động hoàn toàn khác biệt, góp phần làm thay đổi cách nghĩ, lối sống, phương thức làm việc và quan hệ của con người trong xã hội. Tuy nhiên, sự tự động hóa ngày càng cao làm cho tình trạng thất nghiệp trên toàn cầu gia tăng, từ đó dẫn đến những nguy cơ bất ổn về chính trị và xã hội.”;Tự động hóa là quá trình máy móc tham gia sản xuất và thay thế hoàn toàn con người;Sai;;
DS;Đọc đoạn tư liệu sau đây: “Cách mạng công nghiệp thời hiện đại làm cho sự phân công lao động và chuyên môn hóa ngày càng sâu sắc. Các ngành sản xuất phi vật chất (giáo dục, du lịch, giao thông vận tải, tài chính, ngân hàng....) ngày càng phát triển, với nội dung, tính chất và hình thức lao động hoàn toàn khác biệt, góp phần làm thay đổi cách nghĩ, lối sống, phương thức làm việc và quan hệ của con người trong xã hội. Tuy nhiên, sự tự động hóa ngày càng cao làm cho tình trạng thất nghiệp trên toàn cầu gia tăng, từ đó dẫn đến những nguy cơ bất ổn về chính trị và xã hội.”;Với cách mạng công nghiệp hiện đại, sự phân công lao động ngày càng sâu sắc, cụ thể;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Cách mạng công nghiệp thời hiện đại làm cho sự phân công lao động và chuyên môn hóa ngày càng sâu sắc. Các ngành sản xuất phi vật chất (giáo dục, du lịch, giao thông vận tải, tài chính, ngân hàng....) ngày càng phát triển, với nội dung, tính chất và hình thức lao động hoàn toàn khác biệt, góp phần làm thay đổi cách nghĩ, lối sống, phương thức làm việc và quan hệ của con người trong xã hội. Tuy nhiên, sự tự động hóa ngày càng cao làm cho tình trạng thất nghiệp trên toàn cầu gia tăng, từ đó dẫn đến những nguy cơ bất ổn về chính trị và xã hội.”;Cách mạng công nghiệp hiện đại đem đến những nguy cơ bất ổn về chính trị và xã hội;Đúng;;

DS;Đọc đoạn tư liệu sau đây: “Cách mạng công nghiệp thời hiện đại tác động sâu sắc vào đời sống văn hóa, tinh thần của con người, góp phần thúc đẩy sự kết nối, giao lưu văn hóa giữa các quốc gia, khu vực. Con người có thể tìm kiếm, trao đổi thông tin, giao tiếp thông qua các ứng dụng trong không gian mạng. Tuy nhiên, cuộc cách mạng công nghiệp thời hiện đại cũng tạo ra sự xung đột giữa các giá trị văn hóa, lối sống truyền thống và hiện đại; đặt ra nguy cơ đánh mất bản sắc văn hóa dân tộc.”;Tư liệu đề cập đến những tác động hai mặt của cuộc cách mạng công nghiệp thời hiện đại;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Cách mạng công nghiệp thời hiện đại tác động sâu sắc vào đời sống văn hóa, tinh thần của con người, góp phần thúc đẩy sự kết nối, giao lưu văn hóa giữa các quốc gia, khu vực. Con người có thể tìm kiếm, trao đổi thông tin, giao tiếp thông qua các ứng dụng trong không gian mạng. Tuy nhiên, cuộc cách mạng công nghiệp thời hiện đại cũng tạo ra sự xung đột giữa các giá trị văn hóa, lối sống truyền thống và hiện đại; đặt ra nguy cơ đánh mất bản sắc văn hóa dân tộc.”;Cách mạng công nghiệp thời hiện đại đã làm sâu sắc thêm xu thế toàn cầu hóa trên thế giới;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Cách mạng công nghiệp thời hiện đại tác động sâu sắc vào đời sống văn hóa, tinh thần của con người, góp phần thúc đẩy sự kết nối, giao lưu văn hóa giữa các quốc gia, khu vực. Con người có thể tìm kiếm, trao đổi thông tin, giao tiếp thông qua các ứng dụng trong không gian mạng. Tuy nhiên, cuộc cách mạng công nghiệp thời hiện đại cũng tạo ra sự xung đột giữa các giá trị văn hóa, lối sống truyền thống và hiện đại; đặt ra nguy cơ đánh mất bản sắc văn hóa dân tộc.”;Tư liệu trên đã đề cập đầy đủ những tác động tiêu cực của cách mạng công nghiệp hiện đại;Sai;;
DS;Đọc đoạn tư liệu sau đây: “Cách mạng công nghiệp thời hiện đại tác động sâu sắc vào đời sống văn hóa, tinh thần của con người, góp phần thúc đẩy sự kết nối, giao lưu văn hóa giữa các quốc gia, khu vực. Con người có thể tìm kiếm, trao đổi thông tin, giao tiếp thông qua các ứng dụng trong không gian mạng. Tuy nhiên, cuộc cách mạng công nghiệp thời hiện đại cũng tạo ra sự xung đột giữa các giá trị văn hóa, lối sống truyền thống và hiện đại; đặt ra nguy cơ đánh mất bản sắc văn hóa dân tộc.”;Để khắc phục hạn chế trên, các nước cần tăng cường du nhập các yếu tố văn hóa hiện đại;Sai;;

DS;Đọc đoạn tư liệu sau đây: “Từ xa xưa, nước có ý nghĩa đặc biệt quan trọng đối với các quốc gia có nền nông nghiệp lúa nước ở Đông Nam Á. Từ đó, những lễ hội té nước mang đậm bản sắc văn hóa truyền thống xuất hiện nhằm mục đích cầu mong mùa màng tươi tốt, quốc thái dân an, cuộc sống ấm no, hạnh phúc. Lễ hội té nước còn là nghi thức đón năm mới ở một số nước Đông Nam Á. Lễ hội ở mỗi đất nước có tên gọi khác nhau (Thinh-an ở Mi-an-ma, Song-kơ-ran ở Thái Lan, Bun-pi-mây ở Lào, Chôl Chnăm Thmây ở Cam-pu-chia) nhưng được tổ chức cùng một mốc thời gian với các hoạt động văn hóa đặc sắc và những nghi lễ mang nhiều nét tương đồng.”;Tư liệu khẳng định vai trò quan trọng của nước và hoạt động nông nghiệp ở khu vực;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Từ xa xưa, nước có ý nghĩa đặc biệt quan trọng đối với các quốc gia có nền nông nghiệp lúa nước ở Đông Nam Á. Từ đó, những lễ hội té nước mang đậm bản sắc văn hóa truyền thống xuất hiện nhằm mục đích cầu mong mùa màng tươi tốt, quốc thái dân an, cuộc sống ấm no, hạnh phúc. Lễ hội té nước còn là nghi thức đón năm mới ở một số nước Đông Nam Á. Lễ hội ở mỗi đất nước có tên gọi khác nhau (Thinh-an ở Mi-an-ma, Song-kơ-ran ở Thái Lan, Bun-pi-mây ở Lào, Chôl Chnăm Thmây ở Cam-pu-chia) nhưng được tổ chức cùng một mốc thời gian với các hoạt động văn hóa đặc sắc và những nghi lễ mang nhiều nét tương đồng.”;Lễ hội té nước nằm trong nhóm các tín ngưỡng bản địa của cư dân Đông Nam Á;Đúng;;
DS;Đọc đoạn tư liệu sau đây: “Từ xa xưa, nước có ý nghĩa đặc biệt quan trọng đối với các quốc gia có nền nông nghiệp lúa nước ở Đông Nam Á. Từ đó, những lễ hội té nước mang đậm bản sắc văn hóa truyền thống xuất hiện nhằm mục đích cầu mong mùa màng tươi tốt, quốc thái dân an, cuộc sống ấm no, hạnh phúc. Lễ hội té nước còn là nghi thức đón năm mới ở một số nước Đông Nam Á. Lễ hội ở mỗi đất nước có tên gọi khác nhau (Thinh-an ở Mi-an-ma, Song-kơ-ran ở Thái Lan, Bun-pi-mây ở Lào, Chôl Chnăm Thmây ở Cam-pu-chia) nhưng được tổ chức cùng một mốc thời gian với các hoạt động văn hóa đặc sắc và những nghi lễ mang nhiều nét tương đồng.”;Cư dân Đông Nam Á cổ trung đại đều tổ chức nghi lễ té nước để chào đón năm mới;Sai;;
